id,name,locale_id,icon_image_file_name,icon_image_content_type,icon_image_file_size,icon_image_updated_at
1,Lifting & Firming,2,,,,
2,Line & Wrinkle Reduction,2,,,,
3,Oil & Acne Control,2,,,,
4,Hydration,2,,,,
5,Dark Spot Reduction,2,,,,
6,Redness Relief,2,,,,
7,Environmental Protection,2,,,,
8,Age Prevention,2,,,,
9,Radiance,2,,,,
